LS,Level,Section,Row,Seat,Seat.Status.Code,Price.Level.Code,Item.Price,X,Y,Available.Seats,Avail.Seat.Code
1:101:AA:9,1,101,AA,9,K,11,0,1609,771,0,O
1:101:B:1,1,101,B,1,K,11,0,1753,831,0,O
1:101:B:10,1,101,B,10,K,11,0,1753,763.5,0,O
1:101:B:11,1,101,B,11,K,11,0,1753,756,0,O
1:101:B:12,1,101,B,12,K,11,0,1753,748.5,0,O
1:101:B:13,1,101,B,13,K,11,0,1753,741,0,O
1:101:B:14,1,101,B,14,K,11,0,1753,733.5,0,O
1:101:B:15,1,101,B,15,K,11,0,1753,726,0,O
1:101:B:16,1,101,B,16,K,11,0,1753,718.5,0,O
1:101:B:2,1,101,B,2,K,11,0,1753,823.5,0,O
1:101:B:3,1,101,B,3,K,11,0,1753,816,0,O
1:101:B:4,1,101,B,4,K,11,0,1753,808.5,0,O
1:101:B:5,1,101,B,5,K,11,0,1753,801,0,O
1:101:B:6,1,101,B,6,K,11,0,1753,793.5,0,O
1:101:B:7,1,101,B,7,K,11,0,1753,786,0,O
1:101:B:8,1,101,B,8,K,11,0,1753,778.5,0,O
1:101:B:9,1,101,B,9,K,11,0,1753,771,0,O
1:101:BB:1,1,101,BB,1,K,11,0,1621,831,0,O
1:101:BB:10,1,101,BB,10,K,11,0,1621,763.5,0,O
1:101:BB:11,1,101,BB,11,K,11,0,1621,756,0,O
1:101:BB:12,1,101,BB,12,K,11,0,1621,748.5,0,O
1:101:BB:2,1,101,BB,2,K,11,0,1621,823.5,0,O
1:101:BB:3,1,101,BB,3,K,11,0,1621,816,0,O
1:101:BB:4,1,101,BB,4,K,11,0,1621,808.5,0,O
1:101:BB:5,1,101,BB,5,K,11,0,1621,801,0,O
1:101:BB:6,1,101,BB,6,K,11,0,1621,793.5,0,O
1:101:BB:7,1,101,BB,7,K,11,0,1621,786,0,O
1:101:BB:8,1,101,BB,8,K,11,0,1621,778.5,0,O
1:101:BB:9,1,101,BB,9,K,11,0,1621,771,0,O
1:101:C:1,1,101,C,1,K,11,0,1765,831,0,O
1:101:C:10,1,101,C,10,K,11,0,1765,763.5,0,O
1:101:C:11,1,101,C,11,K,11,0,1765,756,0,O
1:101:C:12,1,101,C,12,K,11,0,1765,748.5,0,O
1:101:C:13,1,101,C,13,K,11,0,1765,741,0,O
1:101:C:14,1,101,C,14,K,11,0,1765,733.5,0,O
1:101:C:15,1,101,C,15,K,11,0,1765,726,0,O
1:101:C:16,1,101,C,16,K,11,0,1765,718.5,0,O
1:101:C:2,1,101,C,2,K,11,0,1765,823.5,0,O
1:101:C:3,1,101,C,3,K,11,0,1765,816,0,O
1:101:C:4,1,101,C,4,K,11,0,1765,808.5,0,O
1:101:C:5,1,101,C,5,K,11,0,1765,801,0,O
1:101:C:6,1,101,C,6,K,11,0,1765,793.5,0,O
1:101:C:7,1,101,C,7,K,11,0,1765,786,0,O
1:101:C:8,1,101,C,8,K,11,0,1765,778.5,0,O
1:101:C:9,1,101,C,9,K,11,0,1765,771,0,O
1:101:CC:1,1,101,CC,1,K,11,0,1633,831,0,O
1:101:CC:10,1,101,CC,10,K,11,0,1633,763.5,0,O
1:101:CC:2,1,101,CC,2,K,11,0,1633,823.5,0,O
1:101:CC:3,1,101,CC,3,K,11,0,1633,816,0,O
1:101:CC:4,1,101,CC,4,K,11,0,1633,808.5,0,O
1:101:CC:5,1,101,CC,5,K,11,0,1633,801,0,O
1:101:CC:6,1,101,CC,6,K,11,0,1633,793.5,0,O
1:101:CC:7,1,101,CC,7,K,11,0,1633,786,0,O
1:101:CC:8,1,101,CC,8,K,11,0,1633,778.5,0,O
1:101:CC:9,1,101,CC,9,K,11,0,1633,771,0,O
1:101:D:1,1,101,D,1,K,11,0,1777,831,0,O
1:101:D:10,1,101,D,10,K,11,0,1777,763.5,0,O
1:101:D:11,1,101,D,11,K,11,0,1777,756,0,O
1:101:D:12,1,101,D,12,K,11,0,1777,748.5,0,O
1:101:D:13,1,101,D,13,K,11,0,1777,741,0,O
1:101:D:14,1,101,D,14,K,11,0,1777,733.5,0,O
1:101:D:15,1,101,D,15,K,11,0,1777,726,0,O
1:101:D:16,1,101,D,16,K,11,0,1777,718.5,0,O
1:101:D:2,1,101,D,2,K,11,0,1777,823.5,0,O
1:101:D:3,1,101,D,3,K,11,0,1777,816,0,O
1:101:D:4,1,101,D,4,K,11,0,1777,808.5,0,O
1:101:D:5,1,101,D,5,K,11,0,1777,801,0,O
1:101:D:6,1,101,D,6,K,11,0,1777,793.5,0,O
1:101:D:7,1,101,D,7,K,11,0,1777,786,0,O
1:101:D:8,1,101,D,8,K,11,0,1777,778.5,0,O
1:101:D:9,1,101,D,9,K,11,0,1777,771,0,O
1:101:DD:1,1,101,DD,1,K,11,0,1645,831,0,O
1:101:DD:10,1,101,DD,10,K,11,0,1645,763.5,0,O
1:101:DD:2,1,101,DD,2,K,11,0,1645,823.5,0,O
1:101:DD:3,1,101,DD,3,K,11,0,1645,816,0,O
1:101:DD:4,1,101,DD,4,K,11,0,1645,808.5,0,O
1:101:DD:5,1,101,DD,5,K,11,0,1645,801,0,O
1:101:DD:6,1,101,DD,6,K,11,0,1645,793.5,0,O
1:101:DD:7,1,101,DD,7,K,11,0,1645,786,0,O
1:101:DD:8,1,101,DD,8,K,11,0,1645,778.5,0,O
1:101:DD:9,1,101,DD,9,K,11,0,1645,771,0,O
1:101:E:1,1,101,E,1,K,11,0,1789,831,0,O
1:101:E:10,1,101,E,10,K,11,0,1789,763.5,0,O
1:101:E:11,1,101,E,11,K,11,0,1789,756,0,O
1:101:E:12,1,101,E,12,K,11,0,1789,748.5,0,O
1:101:E:13,1,101,E,13,K,11,0,1789,741,0,O
1:101:E:14,1,101,E,14,K,11,0,1789,733.5,0,O
1:101:E:15,1,101,E,15,K,11,0,1789,726,0,O
1:101:E:16,1,101,E,16,K,11,0,1789,718.5,0,O
1:101:E:2,1,101,E,2,K,11,0,1789,823.5,0,O
1:101:E:3,1,101,E,3,K,11,0,1789,816,0,O
1:101:E:4,1,101,E,4,K,11,0,1789,808.5,0,O
1:101:E:5,1,101,E,5,K,11,0,1789,801,0,O
1:101:E:6,1,101,E,6,K,11,0,1789,793.5,0,O
1:101:E:7,1,101,E,7,K,11,0,1789,786,0,O
1:101:E:8,1,101,E,8,K,11,0,1789,778.5,0,O
1:101:E:9,1,101,E,9,K,11,0,1789,771,0,O
1:101:EE:1,1,101,EE,1,K,11,0,1657,831,0,O
1:101:EE:10,1,101,EE,10,K,11,0,1657,763.5,0,O
1:101:EE:11,1,101,EE,11,K,11,0,1657,756,0,O
1:101:EE:12,1,101,EE,12,K,11,0,1657,748.5,0,O
1:101:EE:2,1,101,EE,2,K,11,0,1657,823.5,0,O
1:101:EE:3,1,101,EE,3,K,11,0,1657,816,0,O
1:101:EE:4,1,101,EE,4,K,11,0,1657,808.5,0,O
1:101:EE:5,1,101,EE,5,K,11,0,1657,801,0,O
1:101:EE:6,1,101,EE,6,K,11,0,1657,793.5,0,O
1:101:EE:7,1,101,EE,7,K,11,0,1657,786,0,O
1:101:EE:8,1,101,EE,8,K,11,0,1657,778.5,0,O
1:101:EE:9,1,101,EE,9,K,11,0,1657,771,0,O
1:101:FF:1,1,101,FF,1,K,11,0,1669,831,0,O
1:101:FF:10,1,101,FF,10,K,11,0,1669,763.5,0,O
1:101:FF:11,1,101,FF,11,K,11,0,1669,756,0,O
1:101:FF:12,1,101,FF,12,K,11,0,1669,748.5,0,O
1:101:FF:2,1,101,FF,2,K,11,0,1669,823.5,0,O
1:101:FF:3,1,101,FF,3,K,11,0,1669,816,0,O
1:101:FF:4,1,101,FF,4,K,11,0,1669,808.5,0,O
1:101:FF:5,1,101,FF,5,K,11,0,1669,801,0,O
1:101:FF:6,1,101,FF,6,K,11,0,1669,793.5,0,O
1:101:FF:7,1,101,FF,7,K,11,0,1669,786,0,O
1:101:FF:8,1,101,FF,8,K,11,0,1669,778.5,0,O
1:101:FF:9,1,101,FF,9,K,11,0,1669,771,0,O
1:101:GG:1,1,101,GG,1,K,11,0,1681,831,0,O
1:101:GG:10,1,101,GG,10,K,11,0,1681,763.5,0,O
1:101:GG:11,1,101,GG,11,K,11,0,1681,756,0,O
1:101:GG:12,1,101,GG,12,K,11,0,1681,748.5,0,O
1:101:GG:13,1,101,GG,13,K,11,0,1681,741,0,O
1:101:GG:14,1,101,GG,14,K,11,0,1681,733.5,0,O
1:101:GG:2,1,101,GG,2,K,11,0,1681,823.5,0,O
1:101:GG:3,1,101,GG,3,K,11,0,1681,816,0,O
1:101:GG:4,1,101,GG,4,K,11,0,1681,808.5,0,O
1:101:GG:5,1,101,GG,5,K,11,0,1681,801,0,O
1:101:GG:6,1,101,GG,6,K,11,0,1681,793.5,0,O
1:101:GG:7,1,101,GG,7,K,11,0,1681,786,0,O
1:101:GG:8,1,101,GG,8,K,11,0,1681,778.5,0,O
1:101:GG:9,1,101,GG,9,K,11,0,1681,771,0,O
1:101:HH:1,1,101,HH,1,K,11,0,1693,831,0,O
1:101:HH:10,1,101,HH,10,K,11,0,1693,763.5,0,O
1:101:HH:11,1,101,HH,11,K,11,0,1693,756,0,O
1:101:HH:12,1,101,HH,12,K,11,0,1693,748.5,0,O
1:101:HH:13,1,101,HH,13,K,11,0,1693,741,0,O
1:101:HH:14,1,101,HH,14,K,11,0,1693,733.5,0,O
1:101:HH:2,1,101,HH,2,K,11,0,1693,823.5,0,O
1:101:HH:3,1,101,HH,3,K,11,0,1693,816,0,O
1:101:HH:4,1,101,HH,4,K,11,0,1693,808.5,0,O
1:101:HH:5,1,101,HH,5,K,11,0,1693,801,0,O
1:101:HH:6,1,101,HH,6,K,11,0,1693,793.5,0,O
1:101:HH:7,1,101,HH,7,K,11,0,1693,786,0,O
1:101:HH:8,1,101,HH,8,K,11,0,1693,778.5,0,O
1:101:HH:9,1,101,HH,9,K,11,0,1693,771,0,O
1:101:JJ:1,1,101,JJ,1,K,11,0,1705,831,0,O
1:101:JJ:10,1,101,JJ,10,K,11,0,1705,763.5,0,O
1:101:JJ:11,1,101,JJ,11,K,11,0,1705,756,0,O
1:101:JJ:12,1,101,JJ,12,K,11,0,1705,748.5,0,O
1:101:JJ:13,1,101,JJ,13,K,11,0,1705,741,0,O
1:101:JJ:14,1,101,JJ,14,K,11,0,1705,733.5,0,O
1:101:JJ:2,1,101,JJ,2,K,11,0,1705,823.5,0,O
1:101:JJ:3,1,101,JJ,3,K,11,0,1705,816,0,O
1:101:JJ:4,1,101,JJ,4,K,11,0,1705,808.5,0,O
1:101:JJ:5,1,101,JJ,5,K,11,0,1705,801,0,O
1:101:JJ:6,1,101,JJ,6,K,11,0,1705,793.5,0,O
1:101:JJ:7,1,101,JJ,7,K,11,0,1705,786,0,O
1:101:JJ:8,1,101,JJ,8,K,11,0,1705,778.5,0,O
1:101:JJ:9,1,101,JJ,9,K,11,0,1705,771,0,O
1:101:KK:1,1,101,KK,1,K,11,0,1717,831,0,O
1:101:KK:10,1,101,KK,10,K,11,0,1717,763.5,0,O
1:101:KK:11,1,101,KK,11,K,11,0,1717,756,0,O
1:101:KK:12,1,101,KK,12,K,11,0,1717,748.5,0,O
1:101:KK:13,1,101,KK,13,K,11,0,1717,741,0,O
1:101:KK:14,1,101,KK,14,K,11,0,1717,733.5,0,O
1:101:KK:2,1,101,KK,2,K,11,0,1717,823.5,0,O
1:101:KK:3,1,101,KK,3,K,11,0,1717,816,0,O
1:101:KK:4,1,101,KK,4,K,11,0,1717,808.5,0,O
1:101:KK:5,1,101,KK,5,K,11,0,1717,801,0,O
1:101:KK:6,1,101,KK,6,K,11,0,1717,793.5,0,O
1:101:KK:7,1,101,KK,7,K,11,0,1717,786,0,O
1:101:KK:8,1,101,KK,8,K,11,0,1717,778.5,0,O
1:101:KK:9,1,101,KK,9,K,11,0,1717,771,0,O
1:101:LL:1,1,101,LL,1,K,11,0,1729,831,0,O
1:101:LL:10,1,101,LL,10,K,11,0,1729,763.5,0,O
1:101:LL:11,1,101,LL,11,K,11,0,1729,756,0,O
1:101:LL:12,1,101,LL,12,K,11,0,1729,748.5,0,O
1:101:LL:13,1,101,LL,13,K,11,0,1729,741,0,O
1:101:LL:14,1,101,LL,14,K,11,0,1729,733.5,0,O
1:101:LL:2,1,101,LL,2,K,11,0,1729,823.5,0,O
1:101:LL:3,1,101,LL,3,K,11,0,1729,816,0,O
1:101:LL:4,1,101,LL,4,K,11,0,1729,808.5,0,O
1:101:LL:5,1,101,LL,5,K,11,0,1729,801,0,O
1:101:LL:6,1,101,LL,6,K,11,0,1729,793.5,0,O
1:101:LL:7,1,101,LL,7,K,11,0,1729,786,0,O
1:101:LL:8,1,101,LL,8,K,11,0,1729,778.5,0,O
1:101:LL:9,1,101,LL,9,K,11,0,1729,771,0,O
1:101:WHL:1,1,101,WHL,1,X,11,60,1801,831,1,X
1:101:WHL:10,1,101,WHL,10,O,11,0,1801,763.5,0,O
1:101:WHL:11,1,101,WHL,11,X,11,60,1801,756,1,X
1:101:WHL:12,1,101,WHL,12,O,11,0,1801,748.5,0,O
1:101:WHL:2,1,101,WHL,2,X,11,60,1801,823.5,1,X
1:101:WHL:3,1,101,WHL,3,X,11,60,1801,816,1,X
1:101:WHL:4,1,101,WHL,4,X,11,60,1801,808.5,1,X
1:101:WHL:5,1,101,WHL,5,O,11,0,1801,801,0,O
1:101:WHL:6,1,101,WHL,6,O,11,0,1801,793.5,0,O
1:101:WHL:7,1,101,WHL,7,X,11,60,1801,786,1,X
1:101:WHL:8,1,101,WHL,8,X,11,60,1801,778.5,1,X
1:101:WHL:9,1,101,WHL,9,O,11,0,1801,771,0,O
1:102:A:1,1,102,A,1,K,11,0,1741,700,0,O
1:102:A:10,1,102,A,10,K,11,0,1741,632.5,0,O
1:102:A:2,1,102,A,2,K,11,0,1741,692.5,0,O
1:102:A:3,1,102,A,3,K,11,0,1741,685,0,O
1:102:A:4,1,102,A,4,K,11,0,1741,677.5,0,O
1:102:A:5,1,102,A,5,K,11,0,1741,670,0,O
1:102:A:6,1,102,A,6,K,11,0,1741,662.5,0,O
1:102:A:7,1,102,A,7,K,11,0,1741,655,0,O
1:102:A:8,1,102,A,8,K,11,0,1741,647.5,0,O
1:102:A:9,1,102,A,9,K,11,0,1741,640,0,O
1:102:A1:1,1,102,A1,1,K,11,0,1525,700,0,O
1:102:A1:2,1,102,A1,2,K,11,0,1525,692.5,0,O
1:102:A1:3,1,102,A1,3,K,11,0,1525,685,0,O
1:102:A1:4,1,102,A1,4,K,11,0,1525,677.5,0,O
1:102:A1:5,1,102,A1,5,K,11,0,1525,670,0,O
1:102:A1:6,1,102,A1,6,K,11,0,1525,662.5,0,O
1:102:A1:7,1,102,A1,7,K,11,0,1525,655,0,O
1:102:A1:8,1,102,A1,8,K,11,0,1525,647.5,0,O
1:102:A2:1,1,102,A2,1,K,11,0,1537,700,0,O
1:102:A2:2,1,102,A2,2,K,11,0,1537,692.5,0,O
1:102:A2:3,1,102,A2,3,K,11,0,1537,685,0,O
1:102:A2:4,1,102,A2,4,K,11,0,1537,677.5,0,O
1:102:A2:5,1,102,A2,5,K,11,0,1537,670,0,O
1:102:A2:6,1,102,A2,6,K,11,0,1537,662.5,0,O
1:102:A2:7,1,102,A2,7,K,11,0,1537,655,0,O
1:102:A2:8,1,102,A2,8,K,11,0,1537,647.5,0,O
1:102:A3:1,1,102,A3,1,K,11,0,1549,700,0,O
1:102:A3:2,1,102,A3,2,K,11,0,1549,692.5,0,O
1:102:A3:3,1,102,A3,3,K,11,0,1549,685,0,O
1:102:A3:4,1,102,A3,4,K,11,0,1549,677.5,0,O
1:102:A3:5,1,102,A3,5,K,11,0,1549,670,0,O
1:102:A3:6,1,102,A3,6,K,11,0,1549,662.5,0,O
1:102:A3:7,1,102,A3,7,K,11,0,1549,655,0,O
1:102:A3:8,1,102,A3,8,K,11,0,1549,647.5,0,O
1:102:A4:1,1,102,A4,1,K,11,0,1561,700,0,O
1:102:A4:2,1,102,A4,2,K,11,0,1561,692.5,0,O
1:102:A4:3,1,102,A4,3,K,11,0,1561,685,0,O
1:102:A4:4,1,102,A4,4,K,11,0,1561,677.5,0,O
1:102:A4:5,1,102,A4,5,K,11,0,1561,670,0,O
1:102:A4:6,1,102,A4,6,K,11,0,1561,662.5,0,O
1:102:A4:7,1,102,A4,7,K,11,0,1561,655,0,O
1:102:A4:8,1,102,A4,8,K,11,0,1561,647.5,0,O
1:102:A5:1,1,102,A5,1,K,11,0,1573,700,0,O
1:102:A5:2,1,102,A5,2,K,11,0,1573,692.5,0,O
1:102:A5:3,1,102,A5,3,K,11,0,1573,685,0,O
1:102:A5:4,1,102,A5,4,K,11,0,1573,677.5,0,O
1:102:A5:5,1,102,A5,5,K,11,0,1573,670,0,O
1:102:A5:6,1,102,A5,6,K,11,0,1573,662.5,0,O
1:102:A5:7,1,102,A5,7,K,11,0,1573,655,0,O
1:102:A5:8,1,102,A5,8,K,11,0,1573,647.5,0,O
1:102:A6:1,1,102,A6,1,K,11,0,1585,700,0,O
1:102:A6:2,1,102,A6,2,K,11,0,1585,692.5,0,O
1:102:A6:3,1,102,A6,3,K,11,0,1585,685,0,O
1:102:A6:4,1,102,A6,4,K,11,0,1585,677.5,0,O
1:102:A6:5,1,102,A6,5,K,11,0,1585,670,0,O
1:102:A6:6,1,102,A6,6,K,11,0,1585,662.5,0,O
1:102:A6:7,1,102,A6,7,K,11,0,1585,655,0,O
1:102:A6:8,1,102,A6,8,K,11,0,1585,647.5,0,O
1:102:A7:1,1,102,A7,1,K,11,0,1597,700,0,O
1:102:A7:2,1,102,A7,2,K,11,0,1597,692.5,0,O
1:102:A7:3,1,102,A7,3,K,11,0,1597,685,0,O
1:102:A7:4,1,102,A7,4,K,11,0,1597,677.5,0,O
1:102:A7:5,1,102,A7,5,K,11,0,1597,670,0,O
1:102:A7:6,1,102,A7,6,K,11,0,1597,662.5,0,O
1:102:A7:7,1,102,A7,7,K,11,0,1597,655,0,O
1:102:AA:1,1,102,AA,1,K,11,0,1609,700,0,O
1:102:AA:2,1,102,AA,2,K,11,0,1609,692.5,0,O
1:102:AA:3,1,102,AA,3,K,11,0,1609,685,0,O
1:102:AA:4,1,102,AA,4,K,11,0,1609,677.5,0,O
1:102:AA:5,1,102,AA,5,K,11,0,1609,670,0,O
1:102:AA:6,1,102,AA,6,K,11,0,1609,662.5,0,O
1:102:AA:7,1,102,AA,7,K,11,0,1609,655,0,O
1:102:B:1,1,102,B,1,K,11,0,1753,700,0,O
1:102:B:10,1,102,B,10,K,11,0,1753,632.5,0,O
1:102:B:2,1,102,B,2,K,11,0,1753,692.5,0,O
1:102:B:3,1,102,B,3,K,11,0,1753,685,0,O
1:102:B:4,1,102,B,4,K,11,0,1753,677.5,0,O
1:102:B:5,1,102,B,5,K,11,0,1753,670,0,O
1:102:B:6,1,102,B,6,K,11,0,1753,662.5,0,O
1:102:B:7,1,102,B,7,K,11,0,1753,655,0,O
1:102:B:8,1,102,B,8,K,11,0,1753,647.5,0,O
1:102:B:9,1,102,B,9,K,11,0,1753,640,0,O
1:102:BB:1,1,102,BB,1,K,11,0,1621,700,0,O
1:102:BB:2,1,102,BB,2,K,11,0,1621,692.5,0,O
1:102:BB:3,1,102,BB,3,K,11,0,1621,685,0,O
1:102:C:1,1,102,C,1,K,11,0,1765,700,0,O
1:102:C:10,1,102,C,10,K,11,0,1765,632.5,0,O
1:102:C:11,1,102,C,11,K,11,0,1765,625,0,O
1:102:C:2,1,102,C,2,K,11,0,1765,692.5,0,O
1:102:C:3,1,102,C,3,K,11,0,1765,685,0,O
1:102:C:4,1,102,C,4,K,11,0,1765,677.5,0,O
1:102:C:5,1,102,C,5,K,11,0,1765,670,0,O
1:102:C:6,1,102,C,6,K,11,0,1765,662.5,0,O
1:102:C:7,1,102,C,7,K,11,0,1765,655,0,O
1:102:C:8,1,102,C,8,K,11,0,1765,647.5,0,O
1:102:C:9,1,102,C,9,K,11,0,1765,640,0,O
1:102:D:1,1,102,D,1,K,11,0,1777,700,0,O
1:102:D:10,1,102,D,10,K,11,0,1777,632.5,0,O
1:102:D:11,1,102,D,11,K,11,0,1777,625,0,O
1:102:D:2,1,102,D,2,K,11,0,1777,692.5,0,O
1:102:D:3,1,102,D,3,K,11,0,1777,685,0,O
1:102:D:4,1,102,D,4,K,11,0,1777,677.5,0,O
1:102:D:5,1,102,D,5,K,11,0,1777,670,0,O
1:102:D:6,1,102,D,6,K,11,0,1777,662.5,0,O
1:102:D:7,1,102,D,7,K,11,0,1777,655,0,O
1:102:D:8,1,102,D,8,K,11,0,1777,647.5,0,O
1:102:D:9,1,102,D,9,K,11,0,1777,640,0,O
1:102:DD:1,1,102,DD,1,K,11,0,1645,700,0,O
1:102:DD:2,1,102,DD,2,K,11,0,1645,692.5,0,O
1:102:DD:3,1,102,DD,3,K,11,0,1645,685,0,O
